Training_Id,File
80792,examples/video/qmlvideo/qml/qmlvideo/CameraFullScreenInverted.qml
43778,src/styles/images/720x1280/default/00_overscrolling_right.9.sci
104218,src/plugins/platforms/eglfs/qeglfshooks.h
17992,src/qml/jsruntime/qv4managed_p.h
57002,src/uml/qport.cpp
43778,src/styles/images/source/720x1280-normalizedNames/00_split_handler_bg.9.sci
80792,src/gsttools/qgstxvimagebuffer.cpp
43778,src/styles/images/source/720x1280-normalizedNames/00_scroll_bar_v.9.png
80792,examples/spectrum/app/wavfile.cpp
108491,src/daemon/jsondbindex.cpp
108491,tests/auto/jsondb-listmodel/test-jsondb-listmodel.h
80792,src/multimedia/audio/qaudioinput_alsa_p.cpp
43778,src/styles/images/source/720x1280-normalizedNames/black/00_toolbar_button_ef.9.png
103861,doc/src/widgets/qtdesigner-plugins.qdoc
98008,src/websockets2/qwebsocket.h
80792,src/plugins/directshow/camera/dsvideodevicecontrol.cpp
63020,examples/opengl/textures/glwidget.h
80792,src/multimedia/audio/qaudioinput_win32_p.h
60370,src/qtmenu.cpp
108122,src/plugins/imageformats/imageformats.pro
103861,doc/src/analyze/creator-analyze.qdoc
86851,doc/src/declarative/whatsnew.qdoc
43778,src/styles/images/720x1280/00_panel_list_bg_press.9.sci
88371,src/plugins/platforms/wayland/qwaylandintegration.cpp
76962,mkspecs/unsupported/vxworks-ppc-dcc/qmake.conf
80792,src/plugins/audiocapture/audiocaptureserviceplugin.cpp
81889,examples/qt3d/builder/builder.h
57002,src/mof/qpackage.h
81889,src/threed/effects/qglcolladafxeffectloader.h
57002,src/uml/qdurationconstraint.cpp
98034,examples/multimedia/video/qmlvideofx/qml/qmlvideofx/main-largescreen.qml
80792,src/multimedia/audio/qaudioinput_win32_p.cpp
92391,src/xml/xml.pro
75227,src/organizer/qorganizeritemsortorder.cpp
92395,mkspecs/features/qt_config.prf
96784,examples/opengl/hellowindow/hellowindow.cpp
57002,src/uml/qclearvariableaction.cpp
5963,src/contacts/requests/qcontactcollectionremoverequest.cpp
43778,src/styles/images/source/720x1280-normalizedNames/white/00_panel_list_bg_ef_press.9.png
80792,src/imports/multimedia/qsgvideonode_p.h
80792,src/plugins/directshow/player/directshowplayerservice.h
103861,doc/src/analyze/creator-valgrind-overview.qdoc
43093,src/plugins/audiocapture/audiocapture.json
59762,src/uml/qcomponentrealization.cpp
36819,src/plugins/cppeditor/cppquickfixes.cpp
80792,src/multimedia/qmediabindableinterface.h
57002,src/uml/qactivitypartition.h
55435,tests/manual/collidingmice/main.cpp
57002,src/mof/qconstraint.cpp
109292,tests/auto/gui/painting/qbrush/qbrush.pro
109292,tests/auto/gui/painting/qpainter/drawPixmap_rop/res/res_NotXorROP7.png
103861,src/libs/utils/persistentsettings.cpp
109292,tests/auto/gui/text/qtextformat/qtextformat.pro
39331,configure
80792,src/multimedia/qmediaservice.h
49689,src/linguist/lupdate/java.cpp
76962,mkspecs/aix-xlc/qmake.conf
57002,src/uml/qexpansionnode.cpp
57002,src/uml/qcontrolflow.cpp
103861,doc/api/coding-style.qdoc
109292,tests/auto/gui/painting/qregion/tst_qregion.cpp
57002,src/uml/qbehavior.h
103861,doc/src/qtquick/qtquick-components.qdoc
80792,tests/systemtests/audio/sys_audio.qtt
93338,examples/location/mapviewer/content/dialogs/RouteDialog.qml
108491,src/daemon/jsondb-map-reduce.h
55435,src/app/qbs/parser/commandlineoption.cpp
43778,src/styles/images/source/720x1280-normalizedNames/white/00_toolbar_button_ef.9.sci
46512,src/serialport/qserialport.cpp
62657,src/tools/qdoc/tree.cpp
64863,doc/src/overview/creator-glossary.qdoc
109292,tests/auto/gui/image/qmovie/.gitignore
109292,tests/auto/gui/painting/qpainter/drawPixmap_rop/res/res_SetROP2.png
24448,src/widgets/graphicsview/qgraphicsitem.h
43778,src/styles/images/source/720x1280-normalizedNames/white/00_category_button_focus.9.sci
75227,src/plugins/organizer/jsondb/qorganizerjsondbdatastorage.cpp
39505,src/uml/qumlobjectnode.cpp
13502,src/plugins/qnx/mediaplayer/mmrendererplayervideorenderercontrol.cpp
57002,src/mof/qpackageimport.h
53953,src/imports/audioengine/qdeclarative_audioengine_p.h
43778,src/styles/images/720x1280/00_edit_field_line_round_bg_01.9.sci
80792,tests/auto/unit/qgraphicsvideoitem/tst_qgraphicsvideoitem.cpp
74800,doc/src/qtgraphicaleffects-fastblur.qdoc
40146,src/lib/buildgraph/buildgraphloader.cpp
53953,src/multimedia/qmediaservice.h
78642,tests/auto/declarative/qdeclarativeerror/qdeclarativeerror.pro
109292,tests/auto/gui/image/qicon/image.png
59678,src/serialport/serialportinfo_wince.cpp
39505,src/uml/qumlinteractionoperand.cpp
43778,src/styles/images/source/720x1280-normalizedNames/00_popup_bg_ef.9.png
103861,src/plugins/coreplugin/mimedatabase.cpp
85346,src/plugins/qmljseditor/qmloutlinemodel.cpp
43778,src/styles/images/720x1280/00_list_group_bg_focus.9.sci
49910,src/plugins/clangcodemodel/unitsetup.h
43778,src/styles/images/source/720x1280-normalizedNames/black/00_button_01_ef_press.9.png
109292,tests/auto/gui/text/qglyphrun/qglyphrun.pro
96784,examples/opengl/doc/images/framebufferobject2-example.png
80792,examples/video/qmlvideo/main.cpp
23169,src/plugins/qmldesigner/designercore/model/qmlanchors.cpp
41418,projects/QtXmlPatterns_release_Integration/stages/win32-mingw48_developer-build_qtlibinfix_opengl_Windows_7/forcesuccess
57002,src/uml/qactivityparameternode.cpp
80792,src/multimedia/gsttools_headers/qvideosurfacegstsink_p.h
36088,src/qml/jsruntime/qv4functionobject.cpp
14362,demos/qtdemo/textbutton.cpp
43871,projects/QtSystems_dev_Integration/stages/win32-mingw47_developer-build_qtlibinfix_Windows_7/properties/qt.tests.insignificant
78300,tests/auto/widgets/widgets/qmenubar/qmenubar.pro
80792,src/plugins/gstreamer/camerabin/camerabinexposure.h
88178,tools/qdoc3/cppcodemarker.cpp
75227,src/plugins/organizer/jsondb/qorganizerjsondbrequestthread.cpp
43778,src/styles/images/720x1280/white/00_popup_button_bg_ef.9.sci
5963,src/contacts/qcontactcollection.h
92895,packaging-tools/configurations/pkg_templates/pkg_55/qt.55.qtwebengine.gcc/meta/package.xml
100697,src/plugins/git/gitsubmiteditorwidget.h
57002,src/uml/qforknode.h
57002,src/mof/qproperty.h
76962,mkspecs/linux-cxx/qmake.conf
80792,src/multimedia/qtmedianamespace.cpp
95598,src/dbus/qdbusintegrator.cpp
80792,src/plugins/gstreamer/qgstreamervideowidget.h
42398,share/qbs/modules/Qt/xmlpatterns/xmlpatterns.qbs
4506,src/plugins/debugger/watchhandler.cpp
23169,src/plugins/qmldesigner/components/formeditor/movemanipulator.cpp
57002,src/uml/qstructuredclassifier.h
43778,src/styles/images/source/720x1280-normalizedNames/white/00_category_panel_bg.9.png
39505,src/uml/qumlreadlinkobjectendqualifieraction.cpp
43778,src/styles/images/source/720x1280-normalizedNames/white/00_list_group_bg_bottom_ef.9.png
43093,src/plugins/directshow/directshow.json
39460,src/lib/language/language.cpp
80792,tests/auto/unit/qmediaimageviewer/tst_qmediaimageviewer.cpp
47096,tests/testapplications/text/textedit.qml
80792,src/plugins/directshow/camera/dscameraservice.h
41418,projects/QtGraphicalEffects_release_Integration/stages/win32-mingw48_developer-build_qtlibinfix_opengl_Windows_7/forcesuccess
57002,src/uml/qactivitynode.h
80792,src/plugins/wmf/player/mfplayerservice.h
109292,tests/auto/gui/kernel/qevent/.gitignore
80792,tests/auto/unit/qmultimedia_common/mockmetadatareadercontrol.h
13903,chromium/content/content_gpu.gypi
62360,tests/auto/declarative/qdeclarativenotifier/tst_qdeclarativenotifier.cpp
90356,util/gencube/gencube.cpp
43778,src/styles/images/720x1280/default/00_slider_bg.9.png
