1488,I2d7607d967b4191b94b261005519ae46637e790d
1609,I6b94ac2007c02ea43acfa9b15cca0b9248a96589
13585,280808
15382,393838
20659,387228
20820,387451
21870,375189
23096,I13462219522386f8740b0d70916a44f3474115e4
24795,379647
25206,334596
30652,353726
30796,346646
31378,332222
32310,370250
36149,366526
36946,365735
37436,346954
37668,361537
39159,353304
40308,358418
40879,358753
41122,353934
41151,I4ca1f9f386b6417726154c466e7a9104b6e6e5e1
41827,345809
42734,352329
44092,359385
44262,338435
46234,356336
49040,301526
49177,346376
49414,345067
50259,329651
51701,348292
52108,348804
52840,300189
53862,258391
54129,345878
55703,Ibf203b71226a672f707e87f22cbf4990b2ebb003
56101,341182
56597,317795
56618,310410
57228,341771
58005,333909
58472,I96a9682afe7eb0caf1fbf47bbb0291833aec245b
58990,337915
59937,301080
61778,333795
61861,303618
64677,326339
64958,301284
66096,284654
66374,I3bf9de9f362feafa18c8eb1d094e3fa69bb4c37b
66532,300200
66740,269424
67023,328042
68564,321470
70149,154365
70770,302403
71932,205631
75355,311260
75737,I0aedbbc3720783d4208d524cd28c7eed4fc5d1d7
75787,306432
76950,Idc390774ba3bf63860bfaee1494b6e0180d112c1
77080,Id6333ca5d99716ccad75ea1964896acf371fa72a
77509,315508
78224,300284
78514,187829
79317,270560
80231,279098
80491,199670
80933,239936
81812,299064
82109,308628
83670,305645
83836,304446
84726,299475
84822,302793
86621,303034
86741,I40f2cad53587a6025d0824390945962786e63cc7
87051,302511
87647,284324
87692,283511
87981,295304
88040,294919
89210,276187
90031,I7e7761fc91b0d6da03939374eeedd809534f6edf
90313,255423
90432,255436
90655,Iaa45c61ff42c4e2107ef7aca1664b193e6e7edbc
90808,296022
91341,296781
91669,244843
92101,I64cf074424b3c8eebf67510ba91bf24f2680dd0d
92248,296067
93288,279127
94617,292194
95756,288821
96053,281693
96355,284322
96390,I6f2c2ebdce227705f073a43ff04c8bddc4ca5fd4
99609,264110
100243,285596
100507,284786
101058,209018
102847,233076
104670,187259
104999,280601
105636,257864
105854,257543
106072,279471
108021,220585
109200,273548
109255,268292
109507,221520
109521,189685
109758,250901
110849,I7e8a620c12bcf47a908a4011976d1b148ee3e0dd
112980,268358
113527,262307
113862,242077
115288,263678
116533,256164
117557,260945
117751,245093
118265,245976
119165,254359
119862,239800
120016,258959
121224,212472
126670,230167
127613,244618
130223,I52ff18d6a48136d64a4c5920612688941442b532
130424,246867
132207,179578
132582,I7b892f6eb101fc6d27b5320b4930013ac595d903
133032,223107
133060,219484
133395,240939
134813,229099
135363,240671
141281,223133
141724,192736
142112,139643
142174,Idb3316900fe2b7fb3acd38f57226902ca10e091a
142921,218781
143221,172021
144410,220152
145478,141182
146937,207300
147147,226382
147828,223003
148504,221457
150205,212765
150736,196792
151652,218355
151777,219027
152236,211239
153446,199345
154232,208467
155004,216191
155790,206981
156357,Iffb54d5ee404889d49c40dbe0401d61e55723872
157854,203274
158203,199318
158245,179390
158306,197553
158524,211591
159213,208932
159512,I0b7a95e77371aef6e349bf54b5dd6ce6c6d2732c
159560,197172
159674,207840
160626,163178
161885,186219
162203,I0b2a43b88cff367684c4d2918305de1547f4411c
163960,151601
164449,192111
165014,141081
165388,193639
165917,I51fc9c7acc30ba46ec7d550df5cb3d85562c49d2
165942,171560
167202,175434
168380,179037
168801,192999
169188,Ieede9a2718d83e5a30e4077957bdb3574fa801bb
170413,I56bbf944ecd6cbdbf116021b8a53f9f9111c134f
170476,180264
172535,192804
172974,191942
173211,I05140765bffc16faef5a29dfaba291c290bfae02
176023,170554
176105,185725
176441,184216
176708,Ife448fdb72f2de56107a74d47cdb64effb97e615
176757,179390
177348,167320
178039,184438
179882,183103
184488,177059
186068,175778
189028,159364
189734,156272
192423,66347
194540,115788
194630,I36218d298ac29c15b2c54b702e4fc3afccd07453
202615,62287
204410,Ib613e6300f2c215be90f924afbd223a3da053a69
206872,I978493f692179ecf09ea9ed98d521b3e65394880
208608,I5e462ba86e64b97b46873a017f87f328acee1b1d
210266,24558
211410,I530760cfaa5eb0cae590c7383e0840c6b3f896b9
214132,368005
214314,312593
214323,160749
214425,378960
214711,378550
215143,352734
215320,356631
215609,273845
215675,333062
215696,139272
215882,341742
215913,327556
215931,332934
216014,339217
216073,I37cc443c4808b0553c8b6d65e2852a17e5f32c2d
216084,I8fdf0740e292eb1ee785512d02e8c552781dcae1
216285,306618
216370,330523
216371,254709
216377,307075
216657,320885
216667,317938
216674,321883
216783,Ia8a387e2eac14dd4dacbf6261f71ac0201ffecf6
217388,290834
217536,299715
217770,174550
217879,285293
217905,289465
217922,289684
217953,283898
218076,233601
218171,258771
218197,282249
218226,I59daf80335f0c186f9a0f66d3539e86703007bfc
218227,I3f77424c3d41fb21b9d562ee1bb82ea0e869b773
218427,265824
218672,267464
218703,265348
218711,179104
218966,190175
219339,243166
219643,239416
219844,215786
219930,230821
220061,229688
220292,222352
220302,124490
220310,145870
220347,124712
220402,217770
220557,203783
220575,205979
220638,206605
220651,204091
220672,212202
220841,175569
220845,196438
220850,204556
220956,I074274b470a7a4f2c95211677b135038ab2c942c
221051,201621
221138,195731
221202,185050
221215,195791
221300,181880
